,sdg,relevance,fos_ids,fos_names,publication
1,SDG_15,4.0,2779043415,Mediterranean sea,https://marineinfo.org/id/publication/253319
2,SDG_2,2.0,"514101110, 152613627","Fishing, Overexploitation",https://marineinfo.org/id/publication/253319
0,SDG_15,9.0,"2992639136, 187604713","Conservation science, Global biodiversity",https://marineinfo.org/id/publication/245914
1,SDG_2,4.0,2992639136,Conservation science,https://marineinfo.org/id/publication/245914
2,SDG_11,1.0,46312422,Communication,https://marineinfo.org/id/publication/245914
0,SDG_2,1.0,152382732,Shore,https://marineinfo.org/id/publication/252970
1,SDG_9,1.0,166566249,Gain,https://marineinfo.org/id/publication/252970
2,SDG_16,1.0,199776023,Negotiation,https://marineinfo.org/id/publication/252970
0,SDG_3,4.0,30028475,Opsin,https://marineinfo.org/id/publication/261207
1,SDG_14,2.0,21790881,Deep sea,https://marineinfo.org/id/publication/261207
0,SDG_11,5.0,521259446,Pollution,https://marineinfo.org/id/publication/253629
1,SDG_2,2.0,"130217890, 152382732","Biodiversity, Shore",https://marineinfo.org/id/publication/253629
2,SDG_14,2.0,"134097258, 130217890","Sea surface temperature, Biodiversity",https://marineinfo.org/id/publication/253629
0,SDG_14,3.0,"21790881, 2776048852, 2780495617","Deep sea, Ocean Biogeographic Information System, Marine life",https://marineinfo.org/id/publication/73524
1,SDG_15,1.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/73524
0,SDG_14,6.0,"2993244835, 2776048852, 2780495617, 113416529","Marine biodiversity, Ocean Biogeographic Information System, Marine life, Marine conservation",https://marineinfo.org/id/publication/305228
1,SDG_2,1.0,113416529,Marine conservation,https://marineinfo.org/id/publication/305228
2,SDG_11,1.0,128570904,Building,https://marineinfo.org/id/publication/305228
0,SDG_2,8.0,"505870484, 2780532849, 3019955603","Fishery, Tuna, Fish species",https://marineinfo.org/id/publication/304636
1,SDG_14,8.0,"505870484, 2780532849, 3019955603","Fishery, Tuna, Fish species",https://marineinfo.org/id/publication/304636
2,SDG_13,3.0,"2993126654, 11308688","Climatic variability, Atlantic multidecadal oscillation",https://marineinfo.org/id/publication/304636
0,SDG_14,3.0,"86909935, 2983223943","Aquaculture, North sea",https://marineinfo.org/id/publication/207613
0,SDG_14,12.0,"136894858, 2993244835, 2776384079","Sea ice, Marine biodiversity, Marine mammal",https://marineinfo.org/id/publication/254659
1,SDG_2,5.0,2776384079,Marine mammal,https://marineinfo.org/id/publication/254659
2,SDG_15,2.0,"132124917, 53565203","Species distribution, Species richness",https://marineinfo.org/id/publication/254659
0,SDG_14,8.0,"21790881, 130217890, 2983223943, 2778391067","Deep sea, Biodiversity, North sea, Trawling",https://marineinfo.org/id/publication/201495
1,SDG_2,7.0,"91067096, 130217890, 2778391067","Megafauna, Biodiversity, Trawling",https://marineinfo.org/id/publication/201495
2,SDG_3,5.0,130217890,Biodiversity,https://marineinfo.org/id/publication/201495
0,SDG_14,1.0,151152651,Marine ecosystem,https://marineinfo.org/id/publication/323498
1,SDG_15,1.0,132124917,Species distribution,https://marineinfo.org/id/publication/323498
0,SDG_15,2.0,"30968088, 194229684","Diversity index, Values",https://marineinfo.org/id/publication/297225
1,SDG_2,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/297225
2,SDG_3,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/297225
0,SDG_2,1.0,514101110,Fishing,https://marineinfo.org/id/publication/258258
1,SDG_3,1.0,2776908312,Sea urchin,https://marineinfo.org/id/publication/258258
2,SDG_11,1.0,521259446,Pollution,https://marineinfo.org/id/publication/258258
0,SDG_15,1.0,53565203,Species richness,https://marineinfo.org/id/publication/310209
0,SDG_14,2.0,149348798,Upwelling,https://marineinfo.org/id/publication/294603
1,SDG_9,1.0,19269812,Satellite,https://marineinfo.org/id/publication/294603
0,SDG_16,3.0,"17520342, 2778706760","Threat, Life-cycle assessment",https://marineinfo.org/id/publication/313227
1,SDG_9,2.0,2778706760,Life-cycle assessment,https://marineinfo.org/id/publication/313227
2,SDG_14,2.0,2993244835,Marine biodiversity,https://marineinfo.org/id/publication/313227
0,SDG_15,5.0,"2992867484, 132124917","Habitat suitability, Species distribution",https://marineinfo.org/id/publication/253055
1,SDG_14,2.0,"130217890, 2983223943","Biodiversity, North sea",https://marineinfo.org/id/publication/253055
2,SDG_2,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/253055
0,SDG_13,2.0,2992816783,Climate change vulnerability,https://marineinfo.org/id/publication/312880
1,SDG_15,2.0,2780354846,Local adaptation,https://marineinfo.org/id/publication/312880
0,SDG_12,4.0,2780748813,Sustainable management,https://marineinfo.org/id/publication/290908
1,SDG_1,2.0,186191158,Vulnerability,https://marineinfo.org/id/publication/290908
2,SDG_3,2.0,186191158,Vulnerability,https://marineinfo.org/id/publication/290908
0,SDG_9,3.0,2778102629,Satellite imagery,https://marineinfo.org/id/publication/303481
0,SDG_14,8.0,"2780737616, 2776048852, 3019955603, 2983223943, 130217890","Conservation status, Ocean Biogeographic Information System, Fish species, North sea, Biodiversity",https://marineinfo.org/id/publication/247864
1,SDG_2,5.0,"130217890, 3019955603, 60359462","Biodiversity, Fish species, Extinction",https://marineinfo.org/id/publication/247864
2,SDG_3,3.0,130217890,Biodiversity,https://marineinfo.org/id/publication/247864
0,SDG_14,2.0,"2779042980, 2781118390","Ecosystem-based management, Integrated coastal zone management",https://marineinfo.org/id/publication/226259
1,SDG_11,1.0,128570904,Building,https://marineinfo.org/id/publication/226259
2,SDG_13,1.0,2778851808,Climate change adaptation,https://marineinfo.org/id/publication/226259
0,SDG_16,2.0,22467394,Multidisciplinary approach,https://marineinfo.org/id/publication/262238
1,SDG_13,1.0,3020675398,Future climate,https://marineinfo.org/id/publication/262238
0,SDG_15,6.0,"58941895, 53565203, 68874143","Ecosystem services, Species richness, Mangrove",https://marineinfo.org/id/publication/253022
1,SDG_2,4.0,68874143,Mangrove,https://marineinfo.org/id/publication/253022
2,SDG_13,4.0,"168754636, 2988944679, 2777774347","Climate model, Global climate, Sea level rise",https://marineinfo.org/id/publication/253022
0,SDG_14,2.0,"21790881, 2988134249","Deep sea, Deep water",https://marineinfo.org/id/publication/254667
0,SDG_14,3.0,2776048852,Ocean Biogeographic Information System,https://marineinfo.org/id/publication/97418
0,SDG_14,3.0,"130217890, 22372391","Biodiversity, Marine technology",https://marineinfo.org/id/publication/281209
1,SDG_16,3.0,"2776949292, 2780608745","Jurisdiction, Convention",https://marineinfo.org/id/publication/281209
2,SDG_2,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/281209
0,SDG_13,3.0,"134097258, 3020675398, 2988944679","Sea surface temperature, Future climate, Global climate",https://marineinfo.org/id/publication/282185
1,SDG_15,3.0,"132124917, 53565203","Species distribution, Species richness",https://marineinfo.org/id/publication/282185
2,SDG_14,1.0,134097258,Sea surface temperature,https://marineinfo.org/id/publication/282185
0,SDG_14,6.0,"2909678590, 505870484, 2776367567, 2776841996, 514101110","Sprattus sprattus, Fishery, Flounder, Shrimp, Fishing",https://marineinfo.org/id/publication/253003
1,SDG_2,4.0,"505870484, 2776367567, 514101110, 2776841996","Fishery, Flounder, Fishing, Shrimp",https://marineinfo.org/id/publication/253003
2,SDG_3,3.0,"2775915366, 186191158","Lacuna, Vulnerability",https://marineinfo.org/id/publication/253003
0,SDG_11,1.0,541528975,Cycling,https://marineinfo.org/id/publication/310215
1,SDG_13,1.0,96793861,Polar seas,https://marineinfo.org/id/publication/310215
2,SDG_14,1.0,2776048852,Ocean Biogeographic Information System,https://marineinfo.org/id/publication/310215
0,SDG_2,5.0,60359462,Extinction,https://marineinfo.org/id/publication/282432
1,SDG_15,5.0,60359462,Extinction,https://marineinfo.org/id/publication/282432
0,SDG_15,5.0,"2779043415, 2992867484","Mediterranean sea, Habitat suitability",https://marineinfo.org/id/publication/293103
1,SDG_14,3.0,"514101110, 2780495617","Fishing, Marine life",https://marineinfo.org/id/publication/293103
2,SDG_2,2.0,514101110,Fishing,https://marineinfo.org/id/publication/293103
0,SDG_14,6.0,"2993244835, 2776048852, 2780495617","Marine biodiversity, Ocean Biogeographic Information System, Marine life",https://marineinfo.org/id/publication/210969
1,SDG_15,1.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/210969
0,SDG_15,5.0,"91067096, 2992867484","Megafauna, Habitat suitability",https://marineinfo.org/id/publication/254402
1,SDG_14,4.0,"21790881, 2988134249","Deep sea, Deep water",https://marineinfo.org/id/publication/254402
2,SDG_2,1.0,91067096,Megafauna,https://marineinfo.org/id/publication/254402
0,SDG_11,2.0,110269972,Recreation,https://marineinfo.org/id/publication/253599
1,SDG_12,2.0,2780748813,Sustainable management,https://marineinfo.org/id/publication/253599
2,SDG_14,2.0,"130217890, 2984306683","Biodiversity, Coastal zone",https://marineinfo.org/id/publication/253599
0,SDG_2,4.0,2776384079,Marine mammal,https://marineinfo.org/id/publication/259171
1,SDG_14,4.0,2776384079,Marine mammal,https://marineinfo.org/id/publication/259171
2,SDG_16,2.0,"2779010840, 34355311","Treaty, International relations",https://marineinfo.org/id/publication/259171
0,SDG_2,3.0,"2776841996, 2779427562, 155373166","Shrimp, Chondrichthyes, Food chain",https://marineinfo.org/id/publication/238167
1,SDG_14,3.0,"21790881, 2776841996, 2779427562","Deep sea, Shrimp, Chondrichthyes",https://marineinfo.org/id/publication/238167
0,SDG_14,4.0,"2779909984, 108469399, 2983223943","Mytilus, Plankton, North sea",https://marineinfo.org/id/publication/303232
1,SDG_7,3.0,2992152313,Primary productivity,https://marineinfo.org/id/publication/303232
2,SDG_2,1.0,2779909984,Mytilus,https://marineinfo.org/id/publication/303232
0,SDG_3,2.0,2777810479,Hagfish,https://marineinfo.org/id/publication/253158
1,SDG_14,2.0,"2776048852, 2984876570","Ocean Biogeographic Information System, Pacific ocean",https://marineinfo.org/id/publication/253158
2,SDG_7,1.0,61980418,Location,https://marineinfo.org/id/publication/253158
0,SDG_2,1.0,149340888,Bycatch,https://marineinfo.org/id/publication/317586
1,SDG_14,1.0,149340888,Bycatch,https://marineinfo.org/id/publication/317586
2,SDG_15,1.0,2779043415,Mediterranean sea,https://marineinfo.org/id/publication/317586
0,SDG_14,8.0,"505870484, 2993244835, 514101110","Fishery, Marine biodiversity, Fishing",https://marineinfo.org/id/publication/317556
1,SDG_2,5.0,"505870484, 72958200, 514101110","Fishery, Trophic level, Fishing",https://marineinfo.org/id/publication/317556
2,SDG_15,5.0,2779043415,Mediterranean sea,https://marineinfo.org/id/publication/317556
0,SDG_11,1.0,128570904,Building,https://marineinfo.org/id/publication/253131
0,SDG_14,4.0,"134097258, 2983223943, 2992957956, 3019955603","Sea surface temperature, North sea, Marine fish, Fish species",https://marineinfo.org/id/publication/253094
1,SDG_13,3.0,"134097258, 2988944679, 2779994751","Sea surface temperature, Global climate, ECHAM",https://marineinfo.org/id/publication/253094
2,SDG_2,2.0,"2992957956, 3019955603","Marine fish, Fish species",https://marineinfo.org/id/publication/253094
0,SDG_3,3.0,"2778934853, 50965678","Ciliata, Abnormality",https://marineinfo.org/id/publication/261508
0,SDG_14,5.0,"2984306683, 2993244835, 2983223943, 21790881, 518008717","Coastal zone, Marine biodiversity, North sea, Deep sea, Arctic",https://marineinfo.org/id/publication/132267
1,SDG_11,1.0,2780871342,Underpinning,https://marineinfo.org/id/publication/132267
2,SDG_13,1.0,518008717,Arctic,https://marineinfo.org/id/publication/132267
0,SDG_2,8.0,"2776841996, 68874143","Shrimp, Mangrove",https://marineinfo.org/id/publication/261488
1,SDG_14,8.0,"2776841996, 86909935","Shrimp, Aquaculture",https://marineinfo.org/id/publication/261488
2,SDG_10,2.0,77357849,Origin,https://marineinfo.org/id/publication/261488
0,SDG_15,15.0,"53565203, 194229684","Species richness, Values",https://marineinfo.org/id/publication/281980
1,SDG_7,2.0,"61980418, 2992152313","Location, Primary productivity",https://marineinfo.org/id/publication/281980
2,SDG_13,1.0,134097258,Sea surface temperature,https://marineinfo.org/id/publication/281980
0,SDG_14,4.0,"2988134249, 3019955603","Deep water, Fish species",https://marineinfo.org/id/publication/325132
1,SDG_2,2.0,3019955603,Fish species,https://marineinfo.org/id/publication/325132
2,SDG_6,2.0,146278227,Bank,https://marineinfo.org/id/publication/325132
0,SDG_15,12.0,"2994246104, 53565203, 2779485152","Biodiversity conservation, Species richness, Convention on Biological Diversity",https://marineinfo.org/id/publication/281272
1,SDG_2,9.0,2994246104,Biodiversity conservation,https://marineinfo.org/id/publication/281272
2,SDG_14,9.0,2994246104,Biodiversity conservation,https://marineinfo.org/id/publication/281272
0,SDG_2,3.0,130217890,Biodiversity,https://marineinfo.org/id/publication/252061
1,SDG_3,3.0,130217890,Biodiversity,https://marineinfo.org/id/publication/252061
2,SDG_14,3.0,130217890,Biodiversity,https://marineinfo.org/id/publication/252061
0,SDG_2,1.0,2776082207,Perciformes,https://marineinfo.org/id/publication/304203
1,SDG_10,1.0,77357849,Origin,https://marineinfo.org/id/publication/304203
2,SDG_14,1.0,2776082207,Perciformes,https://marineinfo.org/id/publication/304203
0,SDG_14,5.0,2983223943,North sea,https://marineinfo.org/id/publication/122622
0,SDG_14,3.0,2993244835,Marine biodiversity,https://marineinfo.org/id/publication/316652
1,SDG_16,2.0,"2776949292, 2779010840","Jurisdiction, Treaty",https://marineinfo.org/id/publication/316652
0,SDG_15,4.0,"132124917, 2983513313","Species distribution, Conservation planning",https://marineinfo.org/id/publication/253026
1,SDG_2,1.0,2983513313,Conservation planning,https://marineinfo.org/id/publication/253026
2,SDG_14,1.0,13474642,Invertebrate,https://marineinfo.org/id/publication/253026
0,SDG_3,1.0,87555872,Ultrastructure,https://marineinfo.org/id/publication/292838
1,SDG_9,1.0,91881484,Fluorescence,https://marineinfo.org/id/publication/292838
2,SDG_11,1.0,541528975,Cycling,https://marineinfo.org/id/publication/292838
0,SDG_11,2.0,46312422,Communication,https://marineinfo.org/id/publication/256252
1,SDG_16,2.0,"39462953, 109986646","Argument, Public policy",https://marineinfo.org/id/publication/256252
0,SDG_11,1.0,115051666,Ranging,https://marineinfo.org/id/publication/254401
0,SDG_14,3.0,"68800169, 33613203, 149340888","Marine protected area, Seabed, Bycatch",https://marineinfo.org/id/publication/329526
1,SDG_2,2.0,"68800169, 149340888","Marine protected area, Bycatch",https://marineinfo.org/id/publication/329526
2,SDG_6,1.0,146278227,Bank,https://marineinfo.org/id/publication/329526
0,SDG_3,4.0,2777929075,Echinoderm,https://marineinfo.org/id/publication/253121
1,SDG_13,3.0,"200479807, 108469399","Biological pump, Plankton",https://marineinfo.org/id/publication/253121
2,SDG_14,2.0,"19829342, 108469399","Ocean acidification, Plankton",https://marineinfo.org/id/publication/253121
0,SDG_15,7.0,"2779043415, 2992867484, 53565203, 2780267512","Mediterranean sea, Habitat suitability, Species richness, Nestedness",https://marineinfo.org/id/publication/282186
